"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"422/268/101.6.168/10/2021 dan 0254.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","36554109","Dinas Kabupaten","16 March 2022 09:01","16 March 2022 09:01"
"420/243/101.6.19.2/2021 dan 0251.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-02-2022","35","Dinas Kabupaten","16 March 2022 04:41","16 March 2022 04:54"
"420/001.2/101.6.18.6/2021 dan 0253.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-02-2022","20","Dinas Kabupaten","16 March 2022 04:54","16 March 2022 04:54"
"1723/II.ZH/MA.01/A12/VII/2021 dan 0252.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-02-2022","30","Dinas Kabupaten","16 March 2022 04:46","16 March 2022 04:46"
"332004931","Study Of GTU Reboiler Design","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Study Of GTU Reboiler Design","Aktif","07-02-2022","07-02-2023","462","Lainnya","28 February 2022 02:46","16 March 2022 02:53"
"05/Ma.13.19.02/01/2021 dan 0250.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-02-2022","31","Dinas Kabupaten","16 March 2022 02:52","16 March 2022 02:52"
"02/DEK/PKS-FT/II/2022","PKS FT dengan Institut Teknologi Sepuluh Nopember","Memorandum of Aggreement (MoA)","Memorandum of Understanding (MoU)","Program Pendidikan Doktoral","Aktif","03-02-2022","02-02-2026","","","15 March 2022 07:30","15 March 2022 07:30"
"551/417.109.2021 dan 0043.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Kajian Pembatasan Penggunaan Air Bawah Tanah di Wilayah Kota Mojokerto 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Membantu dalam Penyusunan Kajian Pembatasan Penggunaan Air Bawah Tanah di Wilayah Kota Mojokerto 2021","Aktif","16-03-2021",,"63336900","Lainnya","15 July 2021 12:40","28 February 2022 16:38"
"30/KTH-P/2021","Sistem Kontrol Terintegrasi Plant Biogas dan Pembangkit Listrik Tenaga Biogas (PLTBG) Untuk Optimalisasi Pemanfaatn Energi Terbarukan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Sistem Kontrol Terintegrasi Plant Biogas dan Pembangkit Listrik Tenaga Biogas (PLTBG) Untuk Optimalisasi Pemanfaatn Energi Terbarukan","Aktif","26-07-2021","02-12-2021","600","Dikti","28 February 2022 16:37","28 February 2022 16:37"
"/KS-KPP/120.4/2021","PEMUTAKHIRAN ZONASI KAWASAN KONSERVASI BAWEAN KEPULAUAN DAN PERAIRAN SEKITARNYA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PEMUTAKHIRAN ZONASI KAWASAN KONSERVASI BAWEAN KEPULAUAN DAN PERAIRAN SEKITARNYA","Aktif","03-09-2021","02-12-2021","499675000","Lainnya","28 February 2022 04:30","28 February 2022 16:33"
"084/PKS/HKR-INS/VIII/2021","INOVASI ALAT SKRINING CEPAT COVID-19 MELALUI BAU  KERINGAT KETIAK","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","INOVASI ALAT SKRINING CEPAT COVID-19 MELALUI BAU KERINGAT KETIAK","Aktif","24-06-2022","02-12-2021","1500000000","Dikti","28 February 2022 16:30","28 February 2022 16:30"
"002/L30110/2021-S0","Evaluasi Master Plan Infrastruktur Pertamina Group","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Evaluasi Master Plan Infrastruktur Pertamina Group","Aktif","01-11-2021","31-12-2021","293168260","Lainnya","28 February 2022 12:48","28 February 2022 16:24"
"3323/E3/PKS.08/KL/2021","Solusi Terintegrasi Sampah Makanan dengan Biokonversi Black Soldier Fly","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Solusi Terintegrasi Sampah Makanan dengan Biokonversi Black Soldier Fly","Aktif","03-08-2021","03-12-2021","1","Dikti","28 February 2022 16:21","28 February 2022 16:21"
"0015.1.00/IT2.IV.3/KS.00.00/2021","Rencana Pengembangan Infrastruktur Pendukung Koridor Maritim dan Logistik (PANTURA-MADURA)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Rencana Pengembangan Infrastruktur Pendukung Koridor Maritim dan Logistik (PANTURA-MADURA)","Aktif","08-02-2021","10-06-2021","499928000","Dinas Propinsi","27 February 2022 12:16","28 February 2022 16:19"
"0028.1.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN STANDAR BARANG DAN HARGA SATUAN BARANG UNTUK TAHUN ANGGARAN 2022","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","MELAKUKAN PENYUSUNAN STANDAR BARANG DAN HARGA SATUAN BARANG UNTUK TAHUN ANGGARAN 2022","Aktif","02-03-2021","02-06-2021","149750000","Dinas Kabupaten","28 February 2022 03:33","28 February 2022 16:17"
"027/ 43 /437.71/2021","Prospek dan Peluang Investasi Industri Kabupaten Gresik","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Prospek dan Peluang Investasi Industri Kabupaten Gresik","Aktif","17-02-2021","16-06-2021","185207000","Dinas Kabupaten","27 February 2022 14:02","28 February 2022 16:16"
"0138.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Studi Kelayakan Pembangunan Jalan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Studi Kelayakan Pembangunan Jalan","Aktif","23-07-2021","19-12-2021","1323905000","Dinas Kabupaten","27 February 2022 16:00","28 February 2022 16:15"
"0198.1.00/IT2.IV.3/KS.00.00/2021","Survey Kebutuhan Bahan Pokok Komoditas Pangan Pada Tingkat Rumah Tangga di Kota Madiun","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Survey Kebutuhan Bahan Pokok Komoditas Pangan Pada Tingkat Rumah Tangga di Kota Madiun","Aktif","01-10-2021","01-02-2022","250000000","Dinas Kabupaten","28 February 2022 04:19","28 February 2022 16:13"
"600/ /PPK/PR/425.101/2021","BELANJA JASA KONSULTANSI PENYUSUNAN PETA DASAR KOTA PROBOLINGGO","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan BELANJA JASA KONSULTANSI PENYUSUNAN PETA DASAR KOTA PROBOLINGGO","Aktif","23-08-2021","21-12-2021","599996320","Lainnya","28 February 2022 04:25","28 February 2022 16:10"
"2100/PKS/ITS/2021","Inkubasi Startup “Adil“ Open Law Project: Political Stability, Rule of Law, National Security & Public Services Transformation","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","","Aktif","19-08-2021","03-12-2021","","","28 February 2022 16:10","28 February 2022 16:10"
"BJ/2152.1/XI/419.109/2021","Penyusunan Dokumen Lingkungan Rencana Pembangunan SMP Negeri 9 Kota Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Lingkungan Rencana Pembangunan SMP Negeri 9 Kota Kediri","Aktif","01-11-2021","10-12-2021","","Dinas Kabupaten","28 February 2022 01:58","28 February 2022 16:09"
"0041.1.00/IT2.IV.3/KS.00.00/2021","Survei Investigasi dan Desain Pengembangan Jaringan Irigasi","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Survei Investigasi dan Desain Pengembangan Jaringan Irigasi Seluas","Aktif","26-04-2021","24-08-2021","945450000","Lainnya","27 February 2022 17:37","28 February 2022 16:09"
"027/351/417.506.4/2021","Pendampingan Jasa Konsultansi Penyusunan Indeks Gini Kota Mojokerto Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pendampingan Jasa Konsultansi Penyusunan Indeks Gini Kota Mojokerto Tahun 2021","Aktif","13-08-2021","19-11-2021","64904000","Pustekkom","28 February 2022 03:24","28 February 2022 16:07"
"074/1690/35.09.312/2021","Kajian Rancangan Dasar (Basic Design) Dan Kelayakan Ekonomi Jalan Kolektor Jls - Andongrejo – Jalur Wisata Bandealit","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Rancangan Dasar (Basic Design) Dan Kelayakan Ekonomi Jalan Kolektor Jls - Andongrejo – Jalur Wisata Bandealit","Aktif","01-09-2021","30-12-2021","","Dinas Kabupaten","28 February 2022 01:54","28 February 2022 16:06"
"0054.1.00/IT2.IV.3/KS.00.00/2021","Jasa Pembuatan Peta Potensi Investasi Kota Mojokerto Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Pembuatan Peta Potensi Investasi Kota Mojokerto Tahun 2021","Aktif","29-04-2021","23-06-2021","75351760","Dinas Kabupaten","27 February 2022 18:27","28 February 2022 16:06"
"0062.1.00/IT2.IV.3/KS.00.00/2021","Tenaga ahli dalam membuat Aplikasi SD Negeri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Membuat Aplikasi SD Negeri","Aktif","28-04-2021","26-07-2021","293500000","Dinas Kabupaten","27 February 2022 19:25","28 February 2022 16:05"
"074/1711/35.09.312/2021","Kajian Rancangan Dasar (Basic Design) Dan Kelayakan Ekonomi Outer Ringroad Jember (Barat - Timur Sisi Utara/Lereng Gunung Argopuro Dan Gunung Raung)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Rancangan Dasar (Basic Design) Dan Kelayakan Ekonomi Outer Ringroad Jember (Barat - Timur Sisi Utara/Lereng Gunung Argopuro Dan Gunung Raung)","Aktif","01-09-2021","30-12-2021","","Dinas Kabupaten","27 February 2022 23:46","28 February 2022 16:04"
"23/40/Kd/Srt/P","Survei Produksi Tebu dan Potensi Ekonomi Porang 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Survei Produksi Tebu dan Potensi Ekonomi Porang 2021","Aktif","01-09-2021","31-10-2021","193532000","","28 February 2022 06:45","28 February 2022 16:03"
"3262/E3/PKS.08/KL/2021","StartUp Pengembangan dan Produksi Mesin Pengolah Sampah (Incinerator) Ramah Lingkungan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","StartUp Pengembangan dan Produksi Mesin Pengolah Sampah (Incinerator) Ramah Lingkungan","Aktif","04-08-2021","03-12-2021","465","Dikti","28 February 2022 16:02","28 February 2022 16:02"
"700/ /407.109/2021","Penyusunan Arsitektur dan Peta Rencana SPBE Kabupaten Tulungagung Tahun 2021-2025","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Arsitektur dan Peta Rencana SPBE Kabupaten Tulungagung Tahun 2021-2025","Aktif","16-06-2021","13-10-2021","150000000","Dinas Kabupaten","28 February 2022 06:57","28 February 2022 16:01"
"074/2091/ 411/ 2021","Penelitian dan Pengembangan Kelautan dan Perikanan (Kajian dan Desain Pantai Puger “Integrasi Wisata, Ekonomi & Perikanan, Pabrik Pengalengan Ikan, Pelelangan Ikan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penelitian dan Pengembangan Kelautan dan Perikanan (Kajian dan Desain Pantai Puger “Integrasi Wisata, Ekonomi &amp; Perikanan, Pabrik Pengalengan Ikan, Pelelangan Ikan"")","Aktif","07-09-2021","06-12-2021","","Dinas Kabupaten","27 February 2022 23:08","28 February 2022 16:01"
"0204.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Indeks Pembangunan Masyarakat Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Indeks Pembangunan Masyarakat Tahun 2021","Aktif","28-10-2021","21-12-2021","170000000","Dinas Kabupaten","28 February 2022 07:13","28 February 2022 16:00"
"074/20.534/201.5/2021","Rencana Pengembangan Infrastruktur Dasar Permukiman Dalam Rangka Mendukung PSN Kilang Minyak Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Rencana Pengembangan Infrastruktur Dasar Permukiman Dalam Rangka Mendukung PSN Kilang Minyak Tuban","Aktif","02-11-2021","15-12-2021","","Dinas Propinsi","27 February 2022 13:50","28 February 2022 15:58"
"0206.1.00/IT2.IV.3/KS.00.00/2021","Kajian Kandungan Energi Sumber Daya Alam di Wilayah Kota Mojokerto","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Kandungan Energi Sumber Daya Alam di Wilayah Kota Mojokerto","Aktif","29-07-2021","29-10-2021","63337560","","28 February 2022 08:06","28 February 2022 15:58"
"074/20.535/201.5/2021","Strategi Percepatan Pemenuhan Hunian Layak dan Terjangkau di Perkotaan Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Strategi Percepatan Pemenuhan Hunian Layak dan Terjangkau di Perkotaan Jawa Timur","Aktif","02-11-2021","15-12-2021","","Dinas Propinsi","27 February 2022 13:45","28 February 2022 15:56"
"0224.0.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN DOKUMEN REVIU & ANALISIS PROSES PERENCANAAN PEMBANGUNAN DAN PENGELOLAAN INDONESIAN ISLAMIC SCIENCE PARK (IISP)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENYUSUNAN DOKUMEN REVIU &amp; ANALISIS PROSES PERENCANAAN PEMBANGUNAN DAN PENGELOLAAN INDONESIAN ISLAMIC SCIENCE PARK (IISP)","Aktif","01-09-2021","01-12-2021","99968000","Sekretariat Dikmen","28 February 2022 07:57","28 February 2022 15:56"
"0180.1.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN DOKUMEN KAJIAN LINGKUNGAN HIDUP STRATEGIS (KLHS) RENCANA DETAIL TATA RUANG (RDTR) WILAYAH PERENCANAAN (WP) PLAOSAN","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENYUSUNAN DOKUMEN KAJIAN LINGKUNGAN HIDUP STRATEGIS (KLHS) RENCANA DETAIL TATA RUANG (RDTR) WILAYAH PERENCANAAN (WP) PLAOSAN","Aktif","15-09-2021","13-12-2021","170000000","Dinas Kabupaten","28 February 2022 08:28","28 February 2022 15:54"
"074/2089.1/411/2021","Penelitian dan Pengembangan Penataan Ruang dan Pertanahan (Kajian dan Perencanaan Pemindahan Pusat Pemerintahan, Pendopo, Gedung Dewan, Zona Pendidikan, Kantor Parpol, LAPAS, Polres Jember dan Kantor Imigrasi)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penelitian dan Pengembangan Penataan Ruang dan Pertanahan (Kajian dan Perencanaan Pemindahan Pusat Pemerintahan, Pendopo, Gedung Dewan, Zona Pendidikan, Kantor Parpol, LAPAS, Polres Jember dan Kantor Imigrasi)","Aktif","07-09-2021","06-12-2021","","Dinas Kabupaten","27 February 2022 12:53","28 February 2022 15:53"
"074/2130.1/411/2021","Penelitian dan Pengembangan Perindustrian dan Perdagangan (Kajian dan Perencanaan Pasar Induk dan Pasar Tanjung, termasuk seluruh pasar di Kab Jember)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penelitian dan Pengembangan Perindustrian dan Perdagangan (Kajian dan Perencanaan Pasar Induk dan Pasar Tanjung, termasuk seluruh pasar di Kab Jember)","Aktif","10-09-2021","26-11-2021","","Dinas Kabupaten","28 February 2022 12:35","28 February 2022 15:51"
"0067.1.00/IT2.IV.3/KS.00.00/2021","Tenaga ahli dalam membuat Aplikasi SMP Negeri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Membuat Aplikasi SMP Negeri","Aktif","19-04-2021","25-06-2021","293500000","Dinas Kabupaten","28 February 2022 01:58","28 February 2022 15:51"
"0124.0.00/IT2.IV.3/KS.00.02/2021","PEMESANAN PRODUK MENITEMU PRODUKSI ITS","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","PEMESANAN PRODUK MENITEMU PRODUKSI ITS","Aktif","31-07-2021","02-12-2021","","","28 February 2022 15:50","28 February 2022 15:50"
"EXT-B-008/HSE/MEDC/L/IX/2021","Kajian Efisiensi dan Konservasi Energi Pada Fasilitas East Java Operations","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Efisiensi dan Konservasi Energi Pada Fasilitas East Java Operations","Aktif","20-09-2021","11-10-2021","476410000","Bantuan Swasta","28 February 2022 08:41","28 February 2022 15:45"
"14.011/PT-AGI/VII/2021","Rancangan Sistem Operasional Pesawat Tanpa Awak Antar Pulau dan Daerah Terpencil untuk Last-Mile Delivery","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Rancangan Sistem Operasional Pesawat Tanpa Awak Antar Pulau dan Daerah Terpencil untuk Last-Mile Delivery","Aktif","09-08-2021","02-12-2021","600","Dikti","28 February 2022 15:45","28 February 2022 15:45"
"0196.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Evaluasi Nilai Tukar Petani Kabupaten Tuban Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Evaluasi Nilai Tukar Petani Kabupaten Tuban Tahun 2021","Aktif","01-10-2021","19-12-2021","","Dinas Kabupaten","28 February 2022 11:24","28 February 2022 15:45"
"027/211/417.506.4/2021","Penyusunan Indikator Kinerja Utama Pemerintah Daerah Kota Mojokerto","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Indikator Kinerja Utama Pemerintah Daerah Kota Mojokerto","Aktif","07-07-2021","07-10-2021","87915636","Pustekkom","28 February 2022 01:01","28 February 2022 15:42"
"050.11/ 47 /414.201/2021","Penyusunan Dokumen Evaluasi Produk Domestik Regional Bruto (PDRB) Tingkat Kecamatan Kabupaten Tuban Tahun 2020","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Evaluasi Produk Domestik Regional Bruto (PDRB) Tingkat Kecamatan Kabupaten Tuban Tahun 2020","Aktif","19-07-2021","16-10-2021","250000000","Dinas Kabupaten","27 February 2022 15:13","28 February 2022 15:41"
"050.11/ 42 /414.201/2021","Penyusunan Dokumen Evaluasi Indeks Gini Ratio","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Evaluasi Indeks Gini Ratio","Aktif","23-06-2021","21-09-2021","75000000","Dinas Kabupaten","27 February 2022 15:02","28 February 2022 15:41"
"074/ /201.4/2021","Penyusunan Analisis Pola Pemberdayaan Ekonomi Sektor Primer di Era New Normal Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Analisis Pola Pemberdayaan Ekonomi Sektor Primer di Era New Normal Jawa Timur","Aktif","24-05-2021","24-08-2021","250000000","Dinas Propinsi","28 February 2022 00:37","28 February 2022 15:40"
"016/SA/WO/0621","Survei Monitoring Pelaksaan Program ALP di Tingkat Petani Mitra PT Sadana Arifnusa","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Survei Monitoring Pelaksaan Program ALP di Tingkat Petani Mitra PT Sadana Arifnusa","Aktif","25-06-2021","31-12-2021","600000000","Bantuan Swasta","28 February 2022 09:10","28 February 2022 15:37"
